% Edge src_layer dst_layer config_sel th0 th1 th2 th3 lv0 lv1 lv2 lv3 lv4 lv5
Edge 1 2 0 621 1123 1717 2732 0 0 0 0 0 0
Edge 2 3 0 496 1174 2006 3189 0 0 0 0 0 0
Edge 3 4 0 470 965 1567 2442 0 0 0 0 0 0
Edge 1 4 0 621 1123 1717 2732 -1 -1 -1 -1 -1 -1
Edge 4 5 0 712 1335 2039 2869 0 0 0 0 0 0
Edge 5 6 0 602 1293 2149 3351 3 3 3 3 3 3
Edge 4 7 0 712 1335 2039 2869 -1 -1 -1 -1 -1 -1
Edge 6 8 0 652 1372 2263 3612 3 3 3 3 3 3
Edge 7 8 0 198 430 723 1412 -1 -1 -1 -1 -1 -1
Edge 8 9 0 706 1488 2454 3875 0 0 0 0 0 0
Edge 9 10 0 538 1175 1995 3264 3 3 3 3 3 3
Edge 8 11 0 706 1488 2454 3875 -1 -1 -1 -1 -1 -1
Edge 10 12 0 440 934 1575 2618 3 3 3 3 3 3
Edge 11 12 0 691 1424 2267 3458 -1 -1 -1 -1 -1 -1
Edge 12 13 0 492 1087 1878 3169 3 3 3 3 3 3
Edge 13 14 0 1355 2354 3547 5471 0 0 0 0 0 0
